CIRCONSCRIPTION,RÉGION,PLQ,PQ,CAQ,QS,VERTS,NPDQ,PCQ,CAP
Rimouski,Bas-St-L,Claude Laroche,Harold Lebel,Nancy Lévesque,Carol-Ann Kack,,,,
Rivière-du-Loup--Témiscouata,Bas-St-L,Jean D'Amour,Vincent Couture,Denis Tardif,Goulimine Cadôret,,,Martin Perron,
Robert-Baldwin,Montréal,Carlos J.Leitão,Karl Dugal,Laura Azéroual,Zachary Williams,,,,
Roberval,Sagu-Lac-St-J,Philippe Couillard,,,,,,Carl Lamontagne,Julie Boucher
Rosemont,Montréal,Agata La Rosa,Jean-François Lisée,Sonya Cormier,Vincent Marissal,,Paulina Ayala,,
Rousseau,Lanaudière,,Nicolas Marceau,,Hélène Dubé,,,Richard Evanko,
Rouyn-Noranda,Abit-Témisc,Luc Blanchette,Gilles Chapadeau,Jérémy Bélanger,Émilise Lessard-Therrien,Jessica Wells,,Guillaume Lanouette,Fernand St-Georges
Saint-François,Estrie,Charles Poulin,Solange Masson,Geneviève Hébert,Kevin Côté,Mathieu Morin,,Marcel Collette,Cyrille McElreavy
Saint-Henri-Sainte-Anne,Montréal,Dominique Anglade,Dieudonné Ella Oyono,Sylvie Hamel,Benoît Racette,Jesse Chase ,,Caroline Orchard,
Saint-Hyacinthe,Montérégie,Annie Pelletier,Daniel Breton,Chantal Soucy,Marijo Demers,,,,
Saint-Jean,Montérégie,,Dave Turcotte,Stéphane Laroche,Simon Lalonde,,,Philippe Perreault,
Saint-Jérôme,Laurentides,Antoine Poulin,Marc Bourcier,Youri Chassin,Ève Duhaime,Annabelle Desrochers,,Normand Michaud,Sylvie Brien
Saint-Laurent,Montréal,Marwah Rizqy,Elias Dib Nicolas,Marc Baaklini,Marie-Josèphe Pigeon,Halimatou Bah ,Jacques Dago,,
Sainte Rose,Laval,Jean Habel,,Christopher Skeete,Simon Charron,Caroline Bergevin,,Benoît Blanchard,
Sainte-Marie-Saint-Jacques,Montréal,,Jennifer Drouin,,Manon Massé,Anna Calderon,Steven R. Scott,,Alexis Cossette-Trudel
Sanguinet,Montérégie,,Alain Therrien,,Maya Fréchette Bonnier,,,Nikolai Grigoriev,
Sherbrooke,Estrie,Luc Fortin,Guillaume Rousseau,Bruno Vachon,Christine Labrie,Marie-Maud Côté-Rouleau,,Pierre Brousseau,
Soulanges,Montérégie,Lucie Charlebois,,Marilyne Picard,Andrée Bessette,,Étienne Madelein,Felice Phil Trombino ,Dominik Prud'homme
Taillon,Montérégie,Mohammed Barhane,Diane Lamarre,Lionel Carmant,Manon Blanchard,Mel-Lyna Cadieux,,,
Taschereau,Rég Québec,Florent Tanlet,Diane Lavallée,Svetlana Solomykina,Catherine Dorion,Élisabeth Grégoire,,,Christian Lavoie
Terrrebonne,Lanaudière,Margaux Selam,Mathieu Traversy,,Kassandra Torok,,,,Mathieu Goyette
Trois-Rivières,Mauricie,Jean-Denis Girard,Marie-Claude Camirand,Jean Boulet,Valérie Delage,Adis Simidzija ,,Daniel Hénault,
Ungava,Nord-du-Q,Jean Boucher,Jonathan Mattson,Denis Lamothe,,,,,
Vachon,Montérégie,Linda Caron,,,André Vincent,Stella Bean,,Laval Côté,Stéphane Marginean
Vanier-Les Rivières,Rég Québec,Patrick Huot,,Mario Asselin,Monique Voisine,Samuel Raymond,,Alain Fortin,
Vaudreuil,Montérégie,Marie-Claude Nichols,,,,Jason Mossa,,Ryan Roberson,Daniel Pilon
Verchères,Montérégie,,Stephane Bergeron,Suzanne Dansereau,Jean-René Péloquin,,,,
Verdun,Montréal,Isabelle Melançon,,Nicole Leduc,Vanessa Roy,Alex Tyrrell,Raphaël Fortin,,
Viau,Montréal,Frantz Benjamin,,Janny Gaspard,Sylvain Lafrenière,,Mamoun Ahmed,,
Vimont,Laval,Jean Rousselle,Sylvie Moreau,Michel Reeves,,Mélanie Messier,,,Rachel Demers
Westmount-Saint-Louis,Montréal,,,Michelle Morin,Ekaterina Piskunova,Sam Kühn,Nicholas Lawson,Mikey Colangelo Lauzon,
